MEASUREMENT_TIME	ID_INPUT	VALUE	PRIVATE_DATA
2023-02-05 22:41:37.228	2	Loading Microsoft Teams	0
2023-02-05 22:41:37.228	3	Teams.exe	0
2023-02-05 22:41:37.228	4	Chrome_WidgetWin_1	0
2023-02-05 22:41:37.228	5	\DISPLAY1	0
2023-02-05 22:42:17.332	2	Friends - Discord	0
2023-02-05 22:42:17.332	3	Discord.exe	0
2023-02-05 22:42:17.332	4	Chrome_WidgetWin_1	0
2023-02-05 22:42:17.332	5	\DISPLAY1	0
2023-02-05 23:09:37.911	2	PDF File viewer | Microsoft Teams	0
2023-02-05 23:09:37.911	3	Teams.exe	0
2023-02-05 23:09:37.911	4	Chrome_WidgetWin_1	0
2023-02-05 23:09:37.911	5	\DISPLAY1	0
2023-02-05 23:09:47.294	2		0
2023-02-05 23:09:47.294	3	explorer.exe	0
2023-02-05 23:09:47.294	4	ApplicationFrameWindow	0
2023-02-05 23:09:47.294	5	\DISPLAY1	0
2023-02-05 23:09:57.293	2		0
2023-02-05 23:09:57.293	3	LeagueClient.exe	0
2023-02-05 23:09:57.293	4	SplashScreenClassName	0
2023-02-05 23:09:57.293	5	\DISPLAY1	0
2023-02-05 23:09:58.438	2	Search highlights icon opens search home window	0
2023-02-05 23:09:58.438	3	explorer.exe	0
2023-02-05 23:09:58.438	4	DynamicContent1	0
2023-02-05 23:09:58.438	5	\DISPLAY1	0
2023-02-05 23:10:06.087	2	Amazon.com: Philips Norelco Replacement Head for Series 3000, 2000, 1000 and S738 Click & Style : Beauty & Personal Care — Mozilla Firefox	0
2023-02-05 23:10:06.087	3	firefox.exe	0
2023-02-05 23:10:06.087	4	MozillaWindowClass	0
2023-02-05 23:10:06.087	5	\DISPLAY1	0
2023-02-05 23:10:12.514	2	Chrome Legacy Window	0
2023-02-05 23:10:12.514	3	LeagueClientUx.exe	0
2023-02-05 23:10:12.514	4	Chrome_RenderWidgetHostHWND	0
2023-02-05 23:10:12.514	5	\DISPLAY1	0
2023-02-05 23:10:23.098	2	My Account — Mozilla Firefox	0
2023-02-05 23:10:23.098	3	firefox.exe	0
2023-02-05 23:10:23.098	4	MozillaWindowClass	0
2023-02-05 23:10:23.098	5	\DISPLAY1	0
2023-02-05 23:11:13.020	2	Running applications	0
2023-02-05 23:11:13.020	3	explorer.exe	0
2023-02-05 23:11:13.020	4	MSTaskListWClass	0
2023-02-05 23:11:13.020	5	\DISPLAY1	0
2023-02-05 23:11:13.791	2	(16) Could Microsoft and OpenAI’s Partnership Challenge Google Search? | Tech News Briefing Podcast | WSJ - YouTube — Mozilla Firefox	0
2023-02-05 23:11:13.791	3	firefox.exe	0
